Pays,GDP,Internet connection speeds,Alcohol consumption,Intentional homicide rate,Military expenditures,Human Dev Index,Democracy Index,Tertiary education atteinment,Importance religion,Christianity%,Islam%,Buddhism%,Jewish%,Under-five mortality,Age criminal responsibility,Minimum wage,External debt,Income equality,Health Expenditure,Suicide Rate,Fertility rate,Tobacco Consumption,Obesity Rate,Internet User,Median Age,EcoFreedom,Oil Production,PopGrowthRate,Life Expectancy,Meat consumption,Incarceration rate,Literacy Rate,WAgeFirstMarriage,Spending Education,Homeless Population,Milk Consumption,Journal Articles,Books Publised,Food Energy,Yearly Temperature
Myanmar,1421.0,,4.8,2.3,,0.583,3.04,,97.0,6.2,,89.9,,44.7,7.0,672.0,17.0,30.7,,3.0,2.138,63.3,,30.5,,53.6,284.0,0.9,69.1,10.7,171.0,58.2,20.5,2.2,93.7,31.48,4.301,3660.0,,13.05
Namibia,4957.0,,9.8,17.7,,0.646,6.52,,92.0,90.0,0.4,0.05,0.00063,42.4,,,64.0,59.1,,13.5,3.344,27.0,17.2,38.1,21.8,58.7,,2.12,64.6,34.0,295.0,56.7,29.2,8.4,,73.05,63.718,106.0,2360.0,19.95
Nepal,1074.0,,2.0,2.3,,0.602,5.22,,93.0,0.9,4.2,10.3,,30.8,10.0,143.0,16.0,32.8,,9.8,1.876,64.2,4.1,35.9,25.3,53.8,,1.09,70.9,10.0,86.0,20.8,17.9,5.2,,52.1,28.189,,2340.0,1.75
Netherlands,53053.0,152.94,8.7,0.6,,0.944,8.96,45.0,33.0,40.4,5.1,0.2,0.19,4.0,12.0,23315.0,453.0,28.5,5436.0,9.3,1.57,32.2,20.4,93.1,42.8,76.8,107.0,0.29,81.8,89.3,63.0,,30.9,5.5,21.0,341.47,1785.333,16502.0,3000.0,9.25
New Zealand,43264.0,153.88,10.7,0.7,,0.931,9.25,39.0,33.0,37.0,0.9,1.6,0.048,4.7,10.0,27407.0,90.0,,4025.0,10.3,1.72,29.6,30.8,90.1,37.2,84.4,7633.0,0.93,82.0,142.1,188.0,,29.4,6.4,86.0,137.25,1663.247,3600.0,2810.0,10.55
Nicaragua,1913.0,,5.2,7.2,,0.66,3.6,,70.0,84.6,0.05,0.05,,16.6,13.0,1599.0,83.0,46.2,,4.7,2.377,,23.7,26.8,27.3,57.7,,1.07,75.0,14.9,332.0,49.2,20.6,4.3,,85.16,6.805,27.0,2420.0,24.9
Niger,555.0,,0.5,4.4,,0.394,3.29,,100.0,0.5,98.3,,,80.4,,615.0,36.0,34.3,,10.1,6.824,7.9,5.5,9.8,14.8,51.6,631.0,3.81,63.3,11.2,47.0,13.7,15.7,3.5,,58.92,2.451,,2390.0,27.15
Nigeria,2361.0,,13.4,34.5,,0.539,4.1,,96.0,49.0,53.5,0.05,0.00063,117.2,7.0,1108.0,2.0,35.1,,6.9,5.317,7.3,8.9,69.5,18.6,57.3,10752.0,2.58,62.6,8.6,32.0,21.6,19.3,,1658.0,7.91,28.6,1314.0,2710.0,26.8
North Macedonia,6093.0,37.2,,,,0.774,5.89,,76.0,70.7,33.3,0.05,0.00063,6.1,14.0,2293.0,73.0,34.2,,7.2,1.489,,22.4,76.3,39.0,71.1,,0.08,74.8,35.4,105.0,,26.0,3.3,,157.93,236.683,,,9.8
Norway,74986.0,159.99,7.5,0.5,,0.957,9.81,48.0,22.0,76.7,3.2,0.6,0.0082,2.4,15.0,,181.0,27.0,6283.0,11.8,1.53,43.0,23.1,95.9,39.5,73.0,313661.0,0.94,82.6,61.7,49.0,,31.9,8.0,7.0,261.34,2211.144,10204.0,3450.0,1.5
Oman,15343.0,57.53,0.8,0.3,,0.813,3.0,,100.0,6.5,86.0,0.8,,11.4,9.0,10143.0,35.0,,,4.5,2.842,9.5,27.0,77.0,26.2,61.0,217178.0,4.08,73.9,49.8,45.0,41.9,24.8,6.8,,152.28,177.245,7.0,,25.6
Pakistan,1187.0,,0.3,3.9,,0.557,4.31,,92.0,1.6,96.5,0.05,,67.2,7.0,1539.0,43.0,33.5,,0.6,3.454,41.5,8.6,55.6,22.0,55.0,400.0,1.91,65.6,12.3,38.0,27.1,18.3,2.9,943.0,183.13,60.802,3811.0,2280.0,20.2
Panama,15728.0,125.25,7.9,9.4,,0.815,7.18,,88.0,92.0,0.7,0.2,0.063,14.9,12.0,3819.0,157.0,49.2,,2.9,2.437,16.9,22.7,56.8,30.1,67.2,,1.55,79.3,54.5,420.0,80.9,21.6,4.1,,70.29,41.419,940.0,2450.0,25.4
Paraguay,5406.0,56.89,7.2,7.1,,0.728,6.18,,92.0,96.0,0.05,0.05,0.0063,19.4,14.0,4402.0,54.0,46.2,,6.2,2.405,29.8,20.3,59.8,29.7,61.8,,1.25,75.8,70.3,241.0,77.8,22.7,3.4,,75.72,14.088,1007.0,2660.0,23.55
Peru,6978.0,51.81,6.3,7.9,,0.777,6.53,,84.0,87.0,0.05,0.2,0.012,13.2,14.0,3344.0,44.0,42.8,,2.7,2.233,33.9,19.7,49.0,29.1,67.8,1267.0,1.2,79.9,34.5,290.0,77.7,23.5,3.9,223.0,62.15,50.955,4101.0,2410.0,19.6
Philippines,3324.0,49.31,6.6,6.5,,0.718,6.56,,96.0,85.0,8.0,0.05,0.00063,27.3,15.0,2696.0,27.0,44.4,,2.5,2.526,35.3,6.4,68.5,24.1,63.8,193.0,1.51,70.4,31.1,200.0,90.1,25.3,2.7,424.0,15.66,20.975,1507.0,2580.0,25.85
