Pays,GDP,Internet connection speeds,Alcohol consumption,Intentional homicide rate,Military expenditures,Human Dev Index,Democracy Index,Tertiary education atteinment,Importance religion,Christianity%,Islam%,Buddhism%,Jewish%,Under-five mortality,Age criminal responsibility,Minimum wage,External debt,Income equality,Health Expenditure,Suicide Rate,Fertility rate,Tobacco Consumption,Obesity Rate,Internet User,Median Age,EcoFreedom,Oil Production,PopGrowthRate,Life Expectancy,Meat consumption,Incarceration rate,Literacy Rate,WAgeFirstMarriage,Spending Education,Homeless Population,Milk Consumption,Journal Articles,Books Publised,Food Energy,Yearly Temperature
New Zealand,43264.0,153.88,10.7,0.7,2.2808727438777994,0.931,9.25,39.0,33.0,37.0,0.9,1.6,0.048,4.7,10.0,27407.0,90.0,36.39999999974134,4025.0,10.3,1.72,29.6,30.8,90.1,37.2,84.4,7633.0,0.93,82.0,142.1,188.0,64.5999999999237,29.4,6.4,86.0,137.25,1663.247,3600.0,2810.0,10.55
Nicaragua,1913.0,19.799769737233476,5.2,7.2,1.9968072076276666,0.66,3.6,40.99999999960028,70.0,84.6,0.05,0.05,0.013000000004410595,16.6,13.0,1599.0,83.0,46.2,4562.449265440437,4.7,2.377,30.29999999988658,23.7,26.8,27.3,57.7,3194.0000000043656,1.07,75.0,14.9,332.0,49.2,20.6,4.3,35.30000000007715,85.16,6.805,27.0,2420.0,24.9
Niger,555.0,20.998780036173514,0.5,4.4,4.00101048196614,0.394,3.29,40.99999999960323,100.0,0.5,98.3,0.049999999899171144,0.012999999886915248,80.4,13.000000000662112,615.0,36.0,34.3,817.8223046765784,10.1,6.824,7.9,5.5,9.8,14.8,51.6,631.0,3.81,63.3,11.2,47.0,13.7,15.7,3.5,35.29999999999865,58.92,2.451,2853.9999996030238,2390.0,27.15
Nigeria,2361.0,49.52808019180617,13.4,34.5,19.15528628285653,0.539,4.1,40.999999999540876,96.0,49.0,53.5,0.05,0.00063,117.2,7.0,1108.0,2.0,35.1,-3561.8482898828915,6.9,5.317,7.3,8.9,69.5,18.6,57.3,10752.0,2.58,62.6,8.6,32.0,21.6,19.3,4.300000000001347,1658.0,7.91,28.6,1314.0,2710.0,26.8
North Macedonia,6093.0,37.2,7.4961483194651635,5.79919419601373,2.1518626565958634,0.774,5.89,40.99999999980929,76.0,70.7,33.3,0.05,0.00063,6.1,14.0,2293.0,73.0,34.2,3170.3612377029235,7.2,1.489,30.300000000021868,22.4,76.3,39.0,71.1,3193.999999915308,0.08,74.8,35.4,105.0,64.59999999998955,26.0,3.3,35.300000000036334,157.93,236.683,2854.00000009872,2750.0000000003693,9.8
Norway,74986.0,159.99,7.5,0.5,9.342326193013651,0.957,9.81,48.0,22.0,76.7,3.2,0.6,0.0082,2.4,15.0,1895.0000000175132,181.0,27.0,6283.0,11.8,1.53,43.0,23.1,95.9,39.5,73.0,313661.0,0.94,82.6,61.7,49.0,64.60000000019306,31.9,8.0,7.0,261.34,2211.144,10204.0,3450.0,1.5
Oman,15343.0,57.53,0.8,0.3,6.370916059203564,0.813,3.0,41.000000001645276,100.0,6.5,86.0,0.8,0.01299999774880689,11.4,9.0,10143.0,35.0,36.39999999956444,1162.2151030145592,4.5,2.842,9.5,27.0,77.0,26.2,61.0,217178.0,4.08,73.9,49.8,45.0,41.9,24.8,6.8,35.30000000058385,152.28,177.245,7.0,2749.9999999945812,25.6
Pakistan,1187.0,-5.776224828554689,0.3,3.9,13.784710500320571,0.557,4.31,40.99999999956185,92.0,1.6,96.5,0.05,0.013000000152828761,67.2,7.0,1539.0,43.0,33.5,-186.57958853207083,0.6,3.454,41.5,8.6,55.6,22.0,55.0,400.0,1.91,65.6,12.3,38.0,27.1,18.3,2.9,943.0,183.13,60.802,3811.0,2280.0,20.2
Panama,15728.0,125.25,7.9,9.4,2.55741443278668,0.815,7.18,40.99999999961631,88.0,92.0,0.7,0.2,0.063,14.9,12.0,3819.0,157.0,49.2,4941.320072438284,2.9,2.437,16.9,22.7,56.8,30.1,67.2,3194.0000000006694,1.55,79.3,54.5,420.0,80.9,21.6,4.1,35.29999999996818,70.29,41.419,940.0,2450.0,25.4
Paraguay,5406.0,56.89,7.2,7.1,1.0242440727641768,0.728,6.18,40.99999999968878,92.0,96.0,0.05,0.05,0.0063,19.4,14.0,4402.0,54.0,46.2,2718.0032691109004,6.2,2.405,29.8,20.3,59.8,29.7,61.8,3193.9999999482825,1.25,75.8,70.3,241.0,77.8,22.7,3.4,35.30000000006612,75.72,14.088,1007.0,2660.0,23.55
Peru,6978.0,51.81,6.3,7.9,2.8059643935461756,0.777,6.53,40.99999999959573,84.0,87.0,0.05,0.2,0.012,13.2,14.0,3344.0,44.0,42.8,4909.544723848387,2.7,2.233,33.9,19.7,49.0,29.1,67.8,1267.0,1.2,79.9,34.5,290.0,77.7,23.5,3.9,223.0,62.15,50.955,4101.0,2410.0,19.6
Philippines,3324.0,49.31,6.6,6.5,4.606218004363702,0.718,6.56,40.99999999963404,96.0,85.0,8.0,0.05,0.00063,27.3,15.0,2696.0,27.0,44.4,1726.9816731137553,2.5,2.526,35.3,6.4,68.5,24.1,63.8,193.0,1.51,70.4,31.1,200.0,90.1,25.3,2.7,424.0,15.66,20.975,1507.0,2580.0,25.85
Poland,15727.0,130.98,11.6,0.7,3.77356534072853,0.88,6.85,43.0,75.0,94.3,0.02,0.05,0.029,4.4,13.0,9408.0,60.0,29.7,2114.0,9.3,1.42,40.8,23.1,91.5,41.9,67.8,525.0,-0.17,78.3,78.1,181.0,93.0,27.0,4.6,8.0,205.39,940.44,21130.0,3410.0,7.85
Portugal,2335.0,150.39,12.3,0.8,1.9565153279778915,0.864,7.9,33.0,72.0,84.3,0.4,0.6,0.0038,3.7,16.0,9594.0,203.0,33.8,3097.0,7.2,1.42,25.3,20.8,74.3,44.6,65.3,3193.9999999760475,-0.39,81.6,91.1,111.0,80.5,31.0,4.9,3.0,205.04,1393.792,7868.0,3580.0,15.15
Qatar,64782.0,105.2,2.0,0.4,5.658134485864094,0.848,3.24,40.99999999971726,95.0,13.8,77.5,3.1,0.013000000253668986,6.5,7.0,1894.9999999937354,83.0,36.399999999989404,493.51741599521483,4.7,1.846,15.6,35.1,91.0,33.7,72.6,500.0,2.36,77.2,90.5,53.0,41.0,25.4,2.9,35.299999999983584,108.46999999993676,540.321,209.0,2749.9999999966594,27.15
